company_name,cik
CHINA LIFE INSURANCE CO LTD,1268896
CHINA MOBILE LTD /ADR/,1117795
CHINA NATURAL RESOURCES INC,793628
CHINA PETROLEUM & CHEMICAL CORP,1123658
CHINA SOUTHERN AIRLINES CO LTD,1041668
CHINA TECHNOLOGY DEVELOPMENT GROUP CORP,1027454
CHINA TELECOM CORP LTD,1191255
CHINA UNICOM (HONG KONG) Ltd,1113866
CHINA YUCHAI INTERNATIONAL LTD,932695
CHIPMOS TECHNOLOGIES BERMUDA LTD,1133478
CHUNGHWA TELECOM CO LTD,1132924
CIBT Education Group Inc.,1123870
CIMATRON LTD,1008595
CITY TELECOM (H.K.) LTD,1097086
CLAUDE RESOURCES INC,1173924
CLICKSOFTWARE TECHNOLOGIES LTD,1105841
CNH GLOBAL N V,1024519
CNINSURE INC.,1413855
CNOOC LTD,1095595
COCA COLA FEMSA SAB DE CV,910631
COCA-COLA HELLENIC BOTTLING CO SA,1190713
COMANCHE CLEAN ENERGY CORP,1396762
COMMTOUCH SOFTWARE LTD,1084577
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP,1170858
COMPTON PETROLEUM CORP,1043572
COMPUGEN LTD,1119774
CONCHA Y TORO WINERY INC,930543
CONSOLIDATED MERCANTILE INC,784012
CONTAX HOLDING CO,1332750
CONTINENTAL ENERGY Corp,852747
CONTINENTAL MINERALS CORP,782879
COPERNIC INC,839435
"CORAL GOLD RESOURCES, LTD.",813639
CORGI INTERNATIONAL LTD,1028637
CORPBANCA/FI,1276671
BLUE MARBLE MEDIA CORP.,1212787
CORUS ENTERTAINMENT INC,1100868
CPFL Energy INC,1300482
CREAM MINERALS LTD,1066130
CREATIVE TECHNOLOGY LTD,888295
CREDICORP LTD,1001290
CREDIT SUISSE AG,1053092
CREDIT SUISSE GROUP AG,1159510
CRESUD INC,1034957
CRH PUBLIC LTD CO,849395
CROSSHAIR EXPLORATION & MINING CORP,1287121
CROW TECHNOLOGIES 1977 LTD,770320
CRYPTOLOGIC LTD,1094036
CRYSTALLEX INTERNATIONAL CORP,912500
CTRIP COM INTERNATIONAL LTD,1269238
Canadian Satellite Radio Holdings Inc.,1354901
Canadian Solar Inc.,1375877
Capital Product Partners L.P.,1392326
Cardiome Pharma Corp,1036141
Cascal N.V.,1404675
Cellcom Israel Ltd.,1385145
Central GoldTrust,1364728
Central North Airport Group,1378239
Challenger Energy Corp,1364644
"China Cablecom Holdings, Ltd.",1416569
"China Digital TV Holding Co., Ltd.",1405503
China Distance Education Holdings LTD,1438644
China Finance Online Co. LTD,1297830
China GrenTech CORP LTD,1347510
China Mass Media Corp.,1439229
"China Medical Technologies, Inc.",1326059
China Nepstar Chain Drugstore Ltd.,1414850
"China Sunergy Co., Ltd.",1396247
China Techfaith Wireless Communication Technology LTD,1316317
ChinaEdu CORP,1411419
UIB Group Ltd,1363613
China TopReach Inc.,1363614
Vale S.A.,917851
"Copa Holdings, S.A.",1345105
Corriente Resources Inc.,1345564
Cosan Ltd.,1402902
DAIMLER AG,1067318
DEJOUR ENTERPRISES LTD,1323838
