company_name,cik
TASEKO MINES LTD,878518
TAT TECHNOLOGIES LTD,808439
TATA COMMUNICATIONS LTD,1116134
TATA MOTORS LTD/FI,926042
TDK CORP,203383
TECK RESOURCES LTD,886986
TEEKAY TANKERS LTD.,1419945
TEFRON LTD,1044863
TELE NORTE LESTE PARTICIPACOES SA,1066113
TELECOM ARGENTINA SA,932470
TELECOM ITALIA S P A,948642
Telefonica Chile S.A.,863614
TELEFONICA OF ARGENTINA INC,914242
TELEFONICA S A,814052
TELEFONOS DE MEXICO S A B DE C V,866213
TELEMIG CELULAR PARTICIPACOES SA,1066118
TELESP HOLDING CO,1066119
TELKOM SA LTD,1214299
TELUS CORP,868675
TELVENT GIT S A,1257803
TENARIS SA,1190723
TEVA PHARMACEUTICAL INDUSTRIES LTD,818686
TEXTAINER GROUP HOLDINGS LTD,1413159
Technicolor,1080259
THOMSON REUTERS CORP /CAN/,1075124
THOMSON REUTERS PLC /ADR/,1056084
TIKCRO TECHNOLOGIES LTD,1117095
TIM PARTICIPACOES SA,1066116
TITAN TRADING ANALYTICS INC,1076639
TOMBSTONE EXPLORATION CORP,1072772
TOMKINS PLC,838877
TONGJITANG CHINESE MEDICINES CO,1386608
TOP IMAGE SYSTEMS LTD,1021991
TOP SHIPS INC.,1296484
TORONTO DOMINION BANK,947263
TOTAL SA,879764
TOWER SEMICONDUCTOR LTD,928876
TOYOTA MOTOR CORP/,1094517
TRANSALTA CORP,1144800
TRANSCANADA CORP,1232384
TRANSCANADA PIPELINES LTD,99070
TRANSGLOBE ENERGY CORP,736744
TTI TEAM TELECOM INTERNATIONAL LTD,1026266
TUMI RESOURCES LTD,1191832
TURKCELL ILETISIM HIZMETLERI A S,1071321
Teekay LNG Partners L.P.,1308106
"Telmex Internacional, S.A.B. de C.V.",1436223
Ternium S.A.,1342874
The9 LTD,1296774
Thompson Creek Metals CO Inc.,1415020
"Tongxin International, Ltd.",1422185
Tournigan Energy Ltd.,1271199
Trans-Orient Petroleum Ltd.,1007023
Transition Therapeutics Inc.,1399250
Trina Solar LTD,1382158
UBS AG,1114446
ULTRAPAR HOLDINGS INC,1094972
ULTRAPETROL BAHAMAS LTD,1062781
UNIBANCO HOLDINGS SA,1038584
UNIBANCO UNION OF BRAZILIAN BANKS SA,1038583
UNILENS VISION INC,852564
UNILEVER N V,110390
UNILEVER PLC,217410
UNITED BREWERIES CO INC,888746
UNITED MICROELECTRONICS CORP,1033767
UR-ENERGY INC,1375205
Unbridled Energy CORP,1343576
Ungava Mines Inc.,1041019
VALCENT PRODUCTS INC.,1122081
VASOGEN INC,1042018
VEOLIA ENVIRONNEMENT,1160110
VERMILION ENERGY INC.,1293135
VIDEOTRON LTEE,890746
VIRGINIA MINES INC,1020011
VISIONCHINA MEDIA INC.,1415911
VITRO SAB DE CV,880582
VOCALTEC COMMUNICATIONS LTD,1005699
VODAFONE GROUP PUBLIC LTD CO,839923
Fibria Celulose S.A.,1110649
VanceInfo Technologies Inc.,1417961
Vimicro International CORP,1341088
Visiphor CORP,1088393
Vivo Participacoes S.A.,1071337
Voltaire Ltd.,1401678
Vuance Ltd,1291855
WACOAL HOLDINGS CORP,104040
WAVECOM SA,1085763
WEBZEN INC,1266467
WESTERN WIND ENERGY CORP,1271131
WESTPAC BANKING CORP,719245
WESTPORT INNOVATIONS INC,1370416
WIMM BILL DANN FOODS OJSC,1166718
WIPRO LTD,1123799
WNS (HOLDINGS) LTD,1356570
WOORI FINANCE HOLDINGS CO LTD,1264136
WPP plc,806968
WSP Holdings LTD,1418225
Western Copper CORP,1364125
North American Nickel Inc.,795800
WuXi PharmaTech (Cayman) Inc.,1403132
XINHUA SPORTS & ENTERTAINMENT Ltd,1389476
XTL BIOPHARMACEUTICALS LTD,1023549
XYRATEX LTD,1284823
"Xinyuan Real Estate Co., Ltd.",1398453
YAMANA GOLD INC,1264089
YANZHOU COAL MINING CO LTD,1048098
YINGLI GREEN ENERGY HOLDING CO LTD,1394029
YM BIOSCIENCES INC,1178347
YPF SOCIEDAD ANONIMA,904851
Yucheng Technologies LTD,1356462
Yukon-Nevada Gold Corp.,1286799
ZARLINK SEMICONDUCTOR INC,352435
ZI CORP,922658
ZIM CORP,1124160
Kokomo Enterprises Inc.,825171
"eLong, Inc.",1290903
"eTelecare Global Solutions, Inc.",1377902
ABN AMRO BANK NV,897878
AEI,1387685
ALESTRA,1098504
RTN Stealth Software Inc.,1036140
HIP ENERGY Corp,1123839
BRITISH TELECOMMUNICATIONS PLC /ADR,820534
Biomass Secure Power Inc,1160164
CALEDONIA MINING CORP,766011
SONDE RESOURCES CORP.,1177470
CARTHEW BAY TECHNOLOGIES INC,1022518
CHINA HELI RESOURCE RENEWABLE Inc,1081823
"CHINA LINEN TEXTILE INDUSTRY, LTD",1336655
CITYVIEW CORP LTD /NEW/,1023130
COASTAL PACIFIC MINING CORP,1410181
CREATOR CAPITAL LTD,882537
CRH AMERICA INC,1143578
CSR PLC,1368358
Cell Kinetics Ltd,1407926
Changyou.com Ltd,1458696
"DJSP Enterprises, Inc.",1436612
Chemspec International Ltd,1463398
China Discovery Acquisition Corp.,1388374
China Fortune Acquisition Corp.,1376110
Clifton Star Resources Inc.,1428267
DEUTSCHE TELEKOM INTERNATIONAL FINANCE BV,1116355
DIAMANT ART CORP,810269
DITTYBASE TECHNOLOGIES INC.,1311170
"DOVE ENERGY, INC.",1446993
DYNAMOTIVE ENERGY SYSTEMS CORP,941625
Danaos Corp,1369241
EURASIA ENERGY LTD,1278465
FORUM NATIONAL INVESTMENTS LTD,1065579
GENOIL INC,1261002
GETTY COPPER INC,1052204
GIGAMEDIA LTD,1105101
GLOBAL CROSSING UK TELECOMMUNICATIONS LTD,1269527
GRAND TOYS INTERNATIONAL LTD,1285066
Gamecorp Ltd.,1040702
IESI-BFC Ltd,1318220
ISRAEL BANK OF AGRICULTURE LTD,52723
TERRA NOVA ROYALTY Corp,16859
LAS VEGAS FROM HOME COM ENTERTAINMENT INC,1061612
LINGO MEDIA CORP,1177167
NCL CORP Ltd.,1318742
North Asia Investment CORP,1420413
ORKO SILVER CORP,1357408
Petrobras Argentina S.A.,1449877
RADIUS GOLD INC.,1113260
Rouge Resources Ltd.,906361
SAND TECHNOLOGY INC,753050
SHARPE RESOURCES CORP,1024696
SINA CORP,1094005
STENA AB,1003517
SUN MEDIA CORP,1036648
TEEKAY CORP,911971
TELECOM CORP OF NEW ZEALAND LTD,875809
TERYL RESOURCES CORP,1109313
TRANSAKT LTD.,1263872
TRINITY BIOTECH PLC,888721
TRINTECH GROUP PLC,1094316
TSAKOS ENERGY NAVIGATION LTD,1166663
Teekay Offshore Partners L.P.,1382298
WEX PHARMACEUTICALS INC.,1060012
WORLD VENTURES INC,861398
eFuture Information Technology Inc.,1329365
ADVANTAGE OIL & GAS LTD.,1468079
ALPHA GOLD CORP,1157807
RUSH METALS CORP,1301574
ASIA PACIFIC WIRE & CABLE CORP LTD,1026980
Anheuser-Busch InBev S.A.,1140467
BBV Vietnam S.E.A. Acquisition Corp.,1415586
CDC Software CORP,1415841
CRUCELL NV,1126136
China Networks International Holdings Ltd,1443979
DUOYUAN GLOBAL WATER INC.,1465317
Eagleford Energy Inc.,1463000
Giant Oil & Gas Inc.,1327926
China Gerui Advanced Materials Group Ltd,1449801
"SGOCO Technology, Ltd.",1412095
IWI HOLDING LTD,923168
LINCOLN GOLD CORP,1080535
MITEL NETWORKS CORP,1170534
CHINA METRO-RURAL HOLDINGS Ltd,1468944
NIOGOLD MINING CORP.,1398827
COUGAR OIL & GAS CANADA INC.,1427645
Pampa Energy Inc.,1469395
Power Oil & Gas Inc,1375476
"STRATA OIL & GAS, INC.",1227282
Telesat Canada,1465126
UNITED BANCORP INC /MI/,775345
VIOSOLAR INC.,1302401
ZHAOHENG HYDROPOWER Ltd,744695
"ADAMS RESOURCES & ENERGY, INC.",2178
ALGONQUIN POWER & UTILITIES CORP.,1174169
AVIVA PLC,1140022
Banco Santander (Brasil) S.A.,1471055
CENOVUS ENERGY INC.,1475260
Wowjoint Holdings Ltd,1429360
CNC Development Ltd.,1442508
Asia Entertainment & Resources Ltd.,1417754
"China Ceramics Co., Ltd",1470683
China Cord Blood Corp,1467808
China Real Estate Information Corp,1472353
DRAGONWAVE INC,1178946
Exceed Co Ltd.,1396016
Funtalk China Holdings Ltd,1444677
GLG LIFE TECH CORP,1406635
GLOBAL-TECH ADVANCED INNOVATIONS INC.,1057708
GSME Acquisition Partners I,1433309
IntelliPharmaCeutics International Inc.,1474835
MERRILL LYNCH CANADA INC,1143718
"NIPPONKOA Insurance Company, Ltd.",1458206
Navios Maritime Acquisition CORP,1437260
PANOSHAN,1301369
RADVIEW SOFTWARE LTD,1114999
RBS Capital Funding LLC V,1245016
RBS Capital Funding LLC VI,1245018
RBS Capital Funding LLC VII,1245019
RBS Capital Funding Trust V,1245005
RBS Capital Funding Trust VI,1245007
RBS Capital Funding Trust VII,1245008
"NKSJ Holdings, Inc.",1458205
Statoil Petroleum AS,1460411
QWICK MEDIA INC.,1128790
VIRYANET LTD,1119744
7 Days Group Holdings LTD,1434220
BAAN CO N V,944624
CALPETRO TANKERS (BAHAMAS III) LTD,923656
CLEARLY CANADIAN BEVERAGE CORP,808464
CRUDE CARRIERS CORP.,1481055
China Hydroelectric Corp,1477156
China Nuokang Bio-Pharmaceutical Inc.,1474952
Concord Medical Services Holdings Ltd,1472072
Deutsche Bank Contingent Capital LLC V,1433611
Deutsche Bank Contingent Capital Trust V,1433609
Edge Resources Inc.,1408986
GLOBETECH VENTURES CORP,947994
IFM Investments Ltd,1477324
"MARK ONE GLOBAL INDUSTRIES, INC.",1000791
"NIPPON MINING HOLDINGS, INC.",1264192
"JX Holdings, Inc.",1452922
Pansoft CO LTD,1430452
RARE ELEMENT RESOURCES LTD,1419806
ROYAL BANK OF SCOTLAND PLC,729153
Scorpio Tankers Inc.,1483934
Shanda Games Ltd,1470157
Shell International Finance B.V.,1333621
Sprott Physical Gold Trust,1477049
ALPHA & OMEGA SEMICONDUCTOR Ltd,1387467
Cash Store Financial Services Inc.,1490658
Charm Communications Inc.,1485487
"China Lodging Group, Ltd",1483994
DRAGON JADE INTERNATIONAL LTD,1456787
Dollarama Group Holdings L.P.,1401140
EQUAL ENERGY LTD.,1492832
Gibson Energy ULC,1483741
Grifols SA,1438569
"JinkoSolar Holding Co., Ltd.",1481513
Kingtone Wirelessinfo Solution Holding Ltd,1487839
OXFORD INVESTMENTS HOLDINGS INC,1145703
PREMIER HOLDING CORP.,1030916
SEADRILL LTD,1351413
VimpelCom Ltd.,1468091
AllShips Ltd.,1083725
AutoNavi Holdings Ltd,1489895
BERKELEY TECHNOLOGY LTD,891377
BMB MUNAI INC,924805
Brigus Gold Corp.,938113
CHINA NEW BORUN Corp,1490366
Camelot Information Systems Inc.,1487295
D. MEDICAL INDUSTRIES LTD.,1487525
Genterra Capital Inc.,1494706
HARVEST OPERATIONS CORP.,1309798
HiSoft Technology International Ltd,1493639
MakeMyTrip Ltd,1495153
NXP Semiconductors N.V.,1413447
Nova Scotia Power Inc,1496154
QMI Seismic Inc.,1490917
SMART Technologies Inc.,1489147
Searchmedia Holdings Ltd,1460329
TOTAL CAPITAL CANADA LTD.,1497940
ALL AMERICAN GROUP INC,21212
ALLIED GOLD LTD,843296
Ambow Education Holding Ltd.,1494558
Australia Acquisition Corp,1499593
Avalon Rare Metals Inc.,1362898
BEARD CO /OK,909992
Bridgeport Ventures Inc.,1488533
CHINA MING YANG WIND POWER GROUP LTD,1500689
Cazador Acquisition Corp Ltd.,1499961
"China Dredging Group Co., Ltd.",1447976
China Everhealth Corp,1483056
China Kanghui Holdings,1495660
ChinaCache International Holdings Ltd.,1498576
"Chuo Mitsui Trust Holdings, Inc.",1475365
Comamtech Inc.,1505611
Costamare Inc.,1503584
"Country Style Cooking Restaurant Chain Co., Ltd.",1499934
DAQO NEW ENERGY CORP.,1477641
Diana Containerships Inc.,1481241
Elster Group SE,1492261
FIRST MAJESTIC SILVER CORP,1308648
FlatWorld Acquisition Corp.,1499573
GLOBUS MARITIME LTD,1499780
GOLDEN STATE PETRO IOM I A PLC,1038460
GOLDEN STATE PETRO IOM I B PLC,1038461
Global Education & Technology Group Ltd,1500108
HudBay Minerals Inc.,1322422
IMRIS Inc.,1489161
Invesco Ltd.,914208
Le Gaga Holdings Ltd,1499506
Mecox Lane Ltd,1501775
NERIUM BIOTECHNOLOGY INC,1429040
Noah Holdings Ltd,1499543
Ossen Innovation Co. Ltd.,1485538
PROMOTORA DE INFORMACIONES SA /FI,1159513
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",1022837
ShangPharma Corp,1499470
SodaStream International Ltd.,1502916
SouFun Holdings Ltd,1294404
Sprott Physical Silver Trust,1494728
TEKMIRA PHARMACEUTICALS CORP,1447028
Xueda Education Group,1499619
